phone model,phone price,phone image
OPPO A3x - هاتف محمول 6.6 بوصة 128 جيجا بايت/4 جيجا بايت ثنائي الشريحة 4G - أحمر نيبولا,"6,750.00 جنيه","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Motorola G35 موبايل مزدوج الشريحة 5G 256 جيجابايت / 8 جيجابايت - أسود,"7,890.00 جنيه","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
OPPO A3 - 6.6 Inch 128GB/6GB Dual SIM 4G Mobile Phone - Sparkle Black,"8,299.00 جنيه","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Apple IPhone 13 - 6.1"" 128GB/4GB Single SIM 5G Mobile Phone - Starlight","35,200.00 جنيه","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Samsung Galaxy A55 Mobile phone - 6.6 Inches - Dual SIM 5G 128GB/8GB - Awesome Navy,"21,505.00 جنيه","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Nokia 6310 (الإصدار الأحدث) – تصميم كلاسيكي مع أداء موثوق,"1,099.00 جنيه","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Apple موبايل ايفون 13 - 6.1 بوصة - شريحة واحدة - 5G - 128 جيجا / 4 جيجا - أزرق,"35,200.00 جنيه","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
XIAOMI موبايل ريدمي نوت 14 4G ثنائي الشريحة 8 جيجا رام 256 جيجا - أسود منتصف الليل,"10,144.00 جنيه","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Samsung Galaxy A16 - 6.7"" 256GB/8GB Dual SIM 4G Mobile Phone - Grey + Free 25W Adapter USB-C Super Fast Charging - Black","9,399.00 جنيه","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Honor X5b - 6.5"" 64GB/4GB Dual SIM 4G Mobile Phone - Midnight Black","4,349.00 جنيه","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
